"Variable","Subsystem","Measurement_Location","Parameter","Description","Units","max_value","min_value","Aggregation_Method"
"PV_PVSystem1ACPowerOSPACPV1OS","PV","Attic","Power_Electrical","Instantaneous AC power reading from inverter 1 as measured by current shunts","W",5108.8949,-107.205,"Average"
"PV_PVSystem2ACEnergyOSEACPV2OS","PV","Attic","Energy_Electrical","Cumulative AC energy generation out of the inverter 2 of the photovoltaic array; data collected with current shunts.  ","Wh",37176,0,"Hour value"
"PV_PVSystem2ACPowerOSPACPV2OS","PV","Attic","Power_Electrical","Instantaneous AC power reading from inverter 1 as measured by current shunts","W",5112.3862,-78.0054,"Average"
"PV_StringCurrentIStr1","PV","Attic","Current_Electrical","Instantaneous direct current from string 1 feeding into inverter 1","A",7.2889,-0.0263,"Average"
"PV_StringCurrentIStr2","PV","Attic","Current_Electrical","Instantaneous direct current from string 2 feeding into inverter 1","A",7.2861,-0.0642,"Average"
"PV_StringCurrentIStr3","PV","Attic","Current_Electrical","Instantaneous direct current from string 3 feeding into inverter 2","A",7.2076,-9.999,"Average"
"PV_StringCurrentIStr4","PV","Attic","Current_Electrical","Instantaneous direct current from string 4 feeding into inverter 2","A",7.6849,-0.0185,"Average"
"PV_StringVoltageUStr2","PV","Attic","Voltage_Electrical","Instantaneous voltage from String 2 of photovoltaic array into inverter 1 (DC)","V",532.8886,0,"Average"
"PV_StringVoltageUStr4","PV","Attic","Voltage_Electrical","Instantaneous voltage from String 4 of photovoltaic array into inverter 2 (DC)","V",525.6864,0,"Average"
"PV_VoltsANUAN1","PV","Attic","Voltage_Electrical","Instantaneous voltage difference between the Phase A live wire and neutral wire from inverter 1 (AC)","V",125.6435,0,"Average"
"PV_VoltsANUAN2","PV","Attic","Voltage_Electrical","Instantaneous voltage difference between the Phase A live wire and neutral wire from inverter 2 (AC)","V",125.7049,0,"Average"
"PV_VoltsBNUBN1","PV","Attic","Voltage_Electrical","Instantaneous voltage difference between the Phase B live wire and neutral wire from inverter 1 (AC)","V",125.5686,0,"Average"
"PV_VoltsBNUBN2","PV","Attic","Voltage_Electrical","Instantaneous voltage difference between the Phase B live wire and neutral wire from inverter 2 (AC)","V",125.5964,0,"Average"
"PV_Watts3PhTotalW3PhT1","PV","Attic","Power_Electrical","Instantaneous power produced from Inverter 1 (Single phase AC); meters utilize current transformers","W",5137.0957,-64.94,"Average"
"PV_Watts3PhTotalW3PhT2","PV","Attic","Power_Electrical","Instantaneous power produced from Inverter 2 (Single phase AC); meters utilize current transformers","W",5152.8906,-67.4529,"Average"
"PV_WhoursDeliveredWhD1","PV","Attic","Energy_Electrical","Cumulative energy delivered by inverter 1 from beginning of operation as measured by system using current transformers","Wh",15866319,0,"Hour value"
"PV_WhoursDeliveredWhD2","PV","Attic","Energy_Electrical","Cumulative energy delivered by inverter 2 from beginning of operation as measured by system using current transformers","Wh",15835294,0,"Hour value"
"SHW_GlycolFlowHXCoriolisSHW","SHW","Basement","Flow_Glycol","Cumulative volume of glycol/water solution flowing through the heat exchanger of the solar water heating system starting from midnight","Gallons",1625282,0,"Hour value"
"SHW_GlycolFlowRateHXCoriolisSHW","SHW","Basement","Flow_Glycol","Instantaneous flow rate of glycol/water solution flowing through the heat exchanger of the solar water heating system","Gallons Per Minute",1.4383,-0.7519,"Average"
"SHW_GlycolTempSHWPanel80galOut","SHW","Outdoor","Temp_Glycol","Instantaneous temperature of glycol/water solution leaving solar panel on roof; temperature is measured with a surface RTD mounted on the surface of the pipe and wrapped in insulation  ","degrees C",144.5037,-17.96,"Average"
"SHW_PSPSHW","SHW","Outdoor","Light_Solar","Solar broadband insolation measured adjacent to and in the plane of the solar thermal collectors","W/m^2",1452.866,-4.3004,"Average"
"SHW_SHWHX80galWaterFlow","SHW","Basement","Flow_Water","Cumulative volume of potable water flowing through the heat exchanger of the solar water heating system starting from midnight (as measured by the heat exchanger’s internal flow meter)","Gallons",2484.3519,0,"Average"
"SHW_WaterFlowHXCoriolisSHW","SHW","Basement","Flow_Water","Cumulative volume of potable water flowing through the heat exchanger of the solar water heating system starting from midnight","Gallons",3549943,0,"Hour value"
"SHW_WaterFlowRateHXCoriolisSHW","SHW","Basement","Flow_Water","Instantaneous flow rate of potable water flowing through the heat exchanger of the solar water heating system","Gallons Per Minute",2.9104,-0.7524,"Average"
"Timestamp",NA,NA,NA,NA,"Date/Time",1454216400,1422766800,NA
"TimeStamp_Count",NA,NA,NA,NA,"Date/Time",524161,1,NA
"Vent_HRVDewpointTemperatureExhaust","Vent","Basement","Temp_DewP","Instantaneous dew point temperature in the exhaust duct outlet from the heat recovery ventilator; refers to indoor air being exhausted from the house","degrees C",21.7276,-20.3591,"Average"
"Vent_HRVDewpointTemperatureOutdoor","Vent","Basement","Temp_DewP","Instantaneous dew point temperature in the outdoor inlet duct to the heat recovery ventilator; refers to outdoor air being brought into the house","degrees C",24.3652,-26.6102,"Average"
"Vent_HRVDewpointTemperatureReturn","Vent","Basement","Temp_DewP","Instantaneous dew point temperature in the return duct inlet to the heat recovery ventilator; refers to indoor air being exhausted from the house","degrees C",22.9607,-23.9291,"Average"
"Vent_HRVDewpointTemperatureSupply","Vent","Basement","Temp_DewP","Instantaneous dew point temperature in the supply duct outlet from the heat recovery ventilator; refers to outdoor air being brought into the house","degrees C",24.0482,-24.2284,"Average"
"Vent_HRVexhaustflowrate","Vent","Basement","Flow_Air","Instantaneous flow rate of air in the exhaust duct outlet from the heat recovery ventilator; refers to indoor air being exhausted from the house","ft^3/min",144.2255,-8.8125,"Average"
"Vent_HRVfreshairpressuredifferential","Vent","Basement","Pressure_Air","Instantaneous pressure differential across heat recovery ventilator of the outdoor air stream","Inches H2O",4.1841,0,"Average"
"Vent_HRVoutdoorflowrate","Vent","Basement","Flow_Air","Instantaneous flow rate of air in the outdoor inlet duct to the heat recovery ventilator; refers to outdoor air being brought into the house","ft^3/min",133.7849,-11.9917,"Average"
"Vent_HRVreturnflowrate","Vent","Basement","Flow_Air","Instantaneous flow rate of air in the return flow duct entering the heat recovery ventilator; refers to indoor air being exhausted from the house","ft^3/min",137.5395,-9.5827,"Average"
"Vent_HRVstaleairpressuredifferential","Vent","Basement","Pressure_Air","Instantaneous pressure differential across heat recovery ventilator of the exhaust air stream","Inches H2O",5.6879,0,"Average"
"Vent_HRVTempExhaustOut","Vent","Basement","Temp_Air","Instantaneous dry bulb temperature in the exhaust duct outlet from the heat recovery ventilator; refers to indoor air being exhausted from the house","degrees C",32.2608,0,"Average"
"Vent_HRVTempOutdoorin","Vent","Basement","Temp_Air","Instantaneous dry bulb temperature in the outdoor inlet duct to the heat recovery ventilator; refers to outdoor air being brought into the house","degrees C",37.3532,-13.8467,"Average"
"Vent_HRVTempReturnIn","Vent","Basement","Temp_Air","Instantaneous dry bulb temperature in the return duct inlet to the heat recovery ventilator; refers to indoor air being exhausted from the house","degrees C",27.2156,0,"Average"
"Vent_HRVTempSupplyOut","Vent","Basement","Temp_Air","Instantaneous dry bulb temperature in the supply duct outlet from the heat recovery ventilator; refers to outdoor air being brought into the house","degrees C",28.0766,0,"Average"
